prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed
[seeker] I'm doing well right now,[supporter] that's great you're doing well 'right now' but what happened prior that you weren't all right?,[seeker] I just took my last exam and I feel that I will fail and have to retake it,[supporter] Oh I'm sorry.  I'm sure you did fine.  We all feel that way after exams!,[seeker] true!,"[supporter] have you felt this way with prior exams?  if so, did you really fail or did you do okay?","[seeker] No, this was the first time I really did not study for this exam",[seeker] Because I had 5 class this semester,[supporter] wow 5 classes is a lot!  So you didn't have time to study?  Did you go to class and do the work throughout the semester?,"[seeker] Yea it was a lot of classes. I tried to attend the lectures, but I was falling behind",[supporter] I wonder if you can contact the professor and go over your exam with him/her to set your anxiety at ease?,[seeker] Unfortunately I cannot since he does not teach during the winter semester,[supporter] how do you get your exam grade and test papers back?,"[seeker] I took it last week, he will not release until the end of this week. I will await my remediation papers",[supporter] have you spoken to people in the class with you?,[seeker] Yea we had a big cheating group since it wasn't on examsoft but we all struggled hard,[supporter] maybe he'll curve the grade then if a lot of people didn't do well,,,,308,V3,I feel that I will fail a class this semester and I just took my last exam last week.,"Lately I've been thinking a lot about my grades and what I should do next. Part of me wants to email my professor to get some clarity, but another part of me feels like I should just wait for the exam results. I hate not knowing what’s going to happen, and it’s making me anxious.",It sounds like you’re caught between wanting certainty and worrying about how reaching out might be perceived. That kind of uncertainty can really amplify stress.,"I can’t keep putting this off because the week is almost over. Would it make more sense to contact him now and ask directly, or just hold off and see how things turn out? I feel stuck trying to choose.","Both options seem to carry different emotional consequences for you. With time feeling limited, it’s understandable that the decision feels heavier than it might otherwise.",TRUE
"[seeker] Hello, I'm feeling a lot of anxiety.",[supporter] I am sorry to hear that.  Do you know what may be causing ytour anxiety?,[seeker] I found out I'm losing my job on January 1.,[supporter] You lost your job? thats a tough situation. Is it due to covid?,"[seeker] No, not due to covid. It's a gig job, much like mturk, but the company is dropping people from my state on that date.",[supporter] I know its tough especially with the holidays and all. You have so many great skills and are such a hard worker I dont think you will have a problem at all finding something different.,"[seeker] I've been looking at other companies, but learning a new system after all these years is difficult.",[supporter] I remember a time I lost my job and felt my whole world crumbling but then I realized when one door closes another door opens. when those doors close it seems that its usually for the best because it opens the path for something bigger and greater for you.,[seeker] That's true. I've thought about looking into new fields.,[supporter] Have you looked into some evening classes or maybe online schooling? I hear there are so many different options when it comes to online learning.,"[seeker] I was looking into that last night, but with covid,  classes have had to cut enrollment and are already full for next semester.",[supporter] They are full? well what about surrounding towns? Have you sat down and really thought about your passions and what you enjoy doing? Maybe theres an elderly person who needs some companionship or something like that in town for the time being.,"[seeker] I don't have a car, so I'm stuck doing classes locally. I think I'll just have to wait for the next semester.",[supporter] Is waiting until next semester something your willing to do? That would give you time to reflect on yourself and your future and figure out what you want to do as a career. I could give you a list of other online opportunities to make money if you would be interested.,,,,,,,135,V3,I just lost my job of seven years and am anxious about finding a new one during the holidays in a pandemic.,"With the holidays approaching, I’ve been feeling increasing pressure about securing a new job. There’s a position available that isn’t exactly what I’m looking for, but it would at least cover my expenses. At the same time, I keep wondering whether it would be wiser to wait for something that aligns better with my long-term goals.","It sounds like you're navigating a tension between immediate financial stability and long-term career alignment. When both feel important, the decision can carry more weight than it might seem on the surface.","Since I need to decide by next week, I’m struggling to figure out which direction makes more sense. Should I prioritize practicality for now, or risk waiting for something that feels like a better fit?",Each option seems to reflect a different priority for you — security on one side and personal fulfillment on the other. Having a deadline likely amplifies that internal conflict.,TRUE
[supporter] its only in your mind,[seeker] i hate my mind,[supporter] like working out? it will give you a lot of benefits especially with your health,[supporter] you can do it!,[seeker] i actually was thinking of starting again. i did about 15 min this morning,[seeker] i used to workout like 2 hours a day lol,[seeker] thank you,[supporter] oh that's nice,[supporter] youre welcome!,[seeker] i actually just switched from beachbody to les mills,[seeker] i got bored with beachb body workouts lol,[seeker] having something different is nice,[supporter] of course you can try different things,[seeker] i got on a sweet tooth. which i'm mad at myself for lol,[seeker] i sued to never eat candy and junk food. the past few weeks...ugh,"[supporter] just do it with moderation, don't be mad at youself",,,,,1082,V3,alcoholism,"I find it hard to balance my sweet cravings while trying to work out regularly. I feel pressured to eat healthy but there's so much junk food around me, especially with the holidays coming up.","When you're trying to build healthier habits while surrounded by temptation, it can feel like you're constantly negotiating with yourself. That kind of internal push and pull can be exhausting.","I need to figure this out soon, like by the end of the week. Should I focus on cutting out sweets completely or just try to limit them? What do you think I should do?","Choosing between strict control and moderation can represent two very different approaches to discipline and flexibility. With a deadline in mind, it makes sense that the decision feels more urgent than usual.",TRUE
[supporter] That is understandable. Was it because of the virus,[seeker] No. I was hurt at work,[supporter] PA got hit hard with the virus,[seeker] yep,[supporter] were you covered by workman's comp,[seeker] yeah. I went to court due to it but they sided with the employer so I lost my job,[supporter] I am in Georgia heading to Virginia. Heavy virus there,[seeker] which?,[supporter] How bad were you injured,[seeker] i have permanent spinal injuries,[supporter] Virginia is hard hit,[seeker] hopefully vaccine is avail soon,[supporter] Wow and the court sided with the employer,[seeker] yeah they paid a dr to say i wasn't injured,[supporter] You can draw unemployment and disability,[seeker] i applied for disability but didn't get it,[supporter] Did you have a lawyer yourself,,,,378,V3,I recently lost my job due to a disability. I have not been able to get another job.,"Ever since I lost my job, I’ve been under a lot of pressure because bills are coming up soon. On top of that, I’m unsure whether I should appeal the disability decision or focus entirely on finding another job. I’m afraid that if I don’t choose by the end of this week, I could lose valuable time.","Facing financial pressure while trying to evaluate two major paths at the same time can feel incredibly destabilizing. When urgency and uncertainty overlap like that, it’s natural for the stress to intensify.","Time isn’t really on my side, and I can’t keep delaying this. Would it make more sense to pursue the appeal process, or concentrate all my effort on job applications? I genuinely don’t know which direction is wiser.","Both options seem to represent different forms of security — one tied to institutional support, the other to personal initiative. Having to commit under time pressure understandably makes the choice feel even heavier.",TRUE
[seeker] and tell boys what a worthless mom I am and white trash,[supporter] What a terrible thing to say. How do you answer him?,[seeker] Usually I keep quiet but if I say something it will be what i do for family and how he doesn't help me or respect me,"[supporter] I'm sorry about what you're going through. It might be a good idea to take some time away from him and for yourself, if that would be possible. Do you have friends or family near you?",[seeker] Not with Covid going on no. I havent seen my mom since march,[seeker] I have no siblings and a few friends,[seeker] boys are cyberschooling he works remote so no that is not possible,"[supporter] It really is a difficult situation for everybody. It sounds like you're all feeling stressed and cooped in too, does that sound right?",[seeker] This happened before Covid. Covid just made it worst,[seeker] because he went to work boys went to school and I had me time for a few hours before I picked youngest up kindergarted,[supporter] It would be good if you can reach out to your friends and let them know how you're feeling.  Try to make some time for yourself and let your husband know how you really feel.,[seeker] well I got get going . boys need me to help withhomework.,[seeker] Great idea . I think I will . Keep safe,[supporter] I hope you keep safe out there too.,,,,,,,758,V3,My husband keeps putting me down and calling me names,"Lately I've been struggling with how to respond to my husband's name-calling. Part of me feels like I need to stand up for myself, but I’m also afraid that pushing back could make things worse, especially with the boys at home all day.","When self-respect and fear of escalation collide, it can create a painful internal conflict. Add the presence of your children to that dynamic, and the emotional stakes naturally feel even higher.","I can't keep ignoring it, and I need to address this by tomorrow. Would it be better to confront him face-to-face, or try expressing myself in writing instead? I really don’t know which approach makes more sense.","Each approach seems to reflect a different strategy — one prioritizing immediacy and clarity, the other perhaps aiming for control and reflection. Having to decide quickly likely intensifies the pressure you’re already feeling.",TRUE
[seeker] I used Glass Door and Indeed,[seeker] Any other ideas?,"[supporter] How about Craigslist? Not my favorite personally speaking, but might be worth taking a look.",[seeker] I will look into that as well,[seeker] Thank you for your help,[seeker] I am starting to feel somewhat better about my situation now,[seeker] Thank you,[supporter] I'm confident you'll find something! Hopefully you have some great self care practices in place that will help you through this time,[seeker] I do I hope u do too,[supporter] I do - thank you for checking :-),[seeker] So how are things for u during this lockdown?,[seeker] You're a Zebra to!! Yay! we're both Zebras together. :),"[supporter] I'm an introvert / homebody so it's been fairly easy for me. I have a lot of projects at home that I enjoy doing (reading, puzzles, meditating, yoga, etc) that keep me busy. I was also, very lucky to be able to keep my full-time job so that keeps me fairly busy most days. But I like a change of scenery and do Mturk tasks for fun",[seeker] I'm the same way,[seeker] I do to and plus it gives u extra cash,"[supporter] yes! not a whole lot honestly, but i like it.",[seeker] I just want this to be over with I want to go back to normal,[seeker] That is true though,[supporter] I agree! It would be nice to have more options of things to do. I do miss going to the library and reading or a museum. Hoping more people will start to wear masks and really start to take this seriously,,816,V3,I am having a very hard time finding a job due to covid.,"With the end of the month approaching, I’ve been feeling increasing pressure to lock in a job because my bills are coming due. I have two interviews scheduled, but I keep going back and forth about which one deserves more of my focus. One company seems steady and secure, while the other offers higher pay but comes with more uncertainty.","Balancing immediate financial responsibility with longer-term career considerations can make even positive opportunities feel heavy. When stability and potential reward pull in different directions, the decision naturally becomes more complex.","Since I can’t split my energy evenly, I need to choose where to invest myself. Should I commit to the safer role, even if it’s less exciting, or lean toward the higher-paying option despite the risk? I’m struggling to determine which path makes more sense.","Each option seems to reflect a different definition of security for you — one grounded in predictability, the other in financial upside. Having limited time to decide likely intensifies that internal tension.",TRUE
"[seeker] Yes, it has been quite difficult",[seeker] I find it helpful to talk to someone though,"[supporter] I feel you, can you tell me when it happened and why?",[seeker] She was annoyed that I was spending too much time doing menial tasks online for Amazon,[seeker] And that I wasn't giving her enough attention,[seeker] So she finally broke it off,"[supporter] She seems to be a bit immature, amazon tasks even if not your main income, is still income and you're just working to make your life better","[seeker] Exactly, and I was completing online chatbot tasks to get her a gift when she broke it off",[seeker] It really came as a surprise to me,"[supporter] that sucks, it must be shocking for you. Did you try to explain to her?","[seeker] I did try to explain, but she didn't give me much of an opportunity to",[seeker] She said that I was just wasting my time because you can only redeem the money in Amazon.com gift cards,"[seeker] And since I live in the UK, i'd have to pay £12 shipping just to get anything delivered","[supporter] ah it is your thought that counts, I'm sorry she didn't appreciate your effort",,,,,,,414,V3,I have just broken up with my girlfriend,"With this weekend approaching, I’ve been going back and forth about whether I should attend an event my ex and I originally planned to go to together. Part of me wants to show up on my own and try to move forward, but another part of me feels it might be easier to avoid the situation entirely.","Situations like that can stir up conflicting emotions — one side pulling toward independence, the other toward self-protection. When shared memories are attached to an event, the decision often carries more emotional weight than it seems on the surface.","Since it’s happening this weekend, I can’t postpone the decision much longer. Should I go and try to make the best of it, or skip it to avoid any awkwardness? I’m struggling to figure out which choice feels right.","Attending could represent reclaiming the experience for yourself, while staying away might offer emotional breathing room. Having limited time to decide likely amplifies that internal tension.",TRUE
[seeker] 7 years. I had him since he was a puppy. He would have turned 8 years old next month.,[supporter] I understand what you are going through. This is one of most difficult time of someone's life.,"[seeker] Thank you. One of my coworkers told me that ""he was just a dog and that I should get over it,""  but I just can't. He brought so much joy to my life and now that I don't have him anymore, I just feel so empty.",[supporter] It is not just a dog. How insensitive of someone say that.,"[seeker] Well, my coworker lost his mother to COVID so I guess he is going through some tough times too.",[supporter] I suggest you pretty soon adapt another dog. This might help you fill up the emptiness.,"[seeker] I have been trying to get out of my slump. I even thought about getting a new dog, but that just brings up sad memories. What do you think I should do?","[supporter] If you are not ready to get a new dog, another thing you might try to spend some time volunteering in a dog shelter... that might give you different perspective",[seeker] That actually sounds like a good idea. I hope the shelter near me will take volunteers with COVID and all.,"[supporter] If you are not comfortable going out due to COVID, you could involve some activities online promoting dog adaption and create awareness online and through social media..","[seeker] That's a great idea. I would love to get involved in anything related to pets. They need a loving home, especially during times like these.",[seeker] Thank you for suggesting that.,[supporter] Anything else I could help you with today?,"[seeker] No, I'll try following the advice you suggested. Hopefully, that'll help me get out of my slump.",[seeker] I may even meet another dog that way too,[seeker] Thank you again,"[supporter] Thank you. Please use ""Finish and Quit"" to end the discussion.",[seeker] It says you need to send more messages?,[supporter] Sure.. do you have any other pet?,,77,V3,My dog died about a month ago and I've just been feeling very depressed. I can't move on yet.,"As much as I miss my dog, I’ve been conflicted about whether bringing a new one into my life is the right step. Part of me feels guilty, almost like I’d be replacing him, but another part of me just doesn’t want to keep feeling this lonely. I’m torn between adopting soon and giving myself more time.","Grief and hope can sometimes coexist in uncomfortable ways. Wanting companionship again doesn’t necessarily erase the bond you had, yet it can still stir up feelings of loyalty and loss.","Since I don’t want to stay stuck in this feeling, I feel like I need to decide by the end of the week. Should I move forward and adopt, or allow myself more space to grieve first? I honestly don’t know which would be healthier.","Adopting could symbolize a step toward renewal, while waiting might represent honoring the depth of your attachment. Having a timeframe in mind may be adding extra weight to what is already an emotional decision.",TRUE
[seeker] Hey,[supporter] How are you friend?,[supporter] Where are you  from?,[seeker] Okay i guess,[seeker] North Carolina,"[supporter] ok,",[seeker] What about you?,[supporter] What are you doing?,"[supporter] i am john from, new york",[seeker] Watching tom and jerry with my kids,[supporter] oh nice,[seeker] What you doing?,[supporter] tell about you?,,,,,,,,272,V3,My husband abandoned me and my kids,Lately I’ve been questioning whether I should ask my husband for help with the kids or just keep handling everything on my own. Trying to juggle work responsibilities while managing their needs has been exhausting.,"When responsibility feels uneven, it can create a quiet tension between independence and the desire for support. Managing work and parenting at the same time often stretches emotional and physical limits.","Since I need to decide by tomorrow, I can’t keep going back and forth. Should I reach out and try to discuss it with him, or continue managing things alone? I’m not sure which approach makes more sense.","Reaching out might represent sharing the load, while handling it alone could feel like maintaining control. Having limited time to choose likely adds another layer of pressure to an already demanding situation.",TRUE
"[seeker] No, it's basically until things get better.",[supporter] I know that's very difficult. And no doubt why you're here working for crumbs.,[supporter] It's why I'm here as well.,"[seeker] Yeah, trying to make ends meet wherever I can",[seeker] I've been also trying to do uber as well but everyone is doing it also,[supporter] I know it's a difficult time. Yes Uber is definitely overrun right now. Have you taken any time out to address your anxiety so it doesn't become more serious?,[seeker] I don't know what I can do. I've been trying to keep busy. And I can't afford a therapist or anything like that.,"[supporter] Yes, that's definitely an expense you can't afford right now. But are you familiar with the concept of controlled breathing to help reduce or relieve anxiety?",[seeker] Like meditation?,[seeker] What am I supposed to do? Just breathe in and out a lot?,"[supporter] Not exactly. Controlled breathing is more of getting yourself into a quiet room. Closing your eyes, and purposely and intently focusing on your breathing. Slowly breathe in for a count of 5, then slowly exhale for a count of 5. Repeat this process for approximately 10 minute. It will help your stress levels and help regulate your heart rate!","[seeker] Oh I didn't know that. No, I haven't tried that. Does it really work?",[supporter] I've been using it myself over the past 3 months and it most definitely helps! But it's absolutely imperative to clear your mind and have complete quiet.,[seeker] ok I can try it I guess,[seeker] thanks for that tip,[supporter] No problem. I hope this gives you some relief! Stay strong!,,,,,652,V3,My company fired 10% of the workforce and I am afraid I am going to be in the next round.,"With all the layoffs happening around me, I’ve started questioning how secure my position really is. I have financial responsibilities I can’t ignore, and I’m torn between proactively searching for something else or staying put for now. I keep wondering whether waiting too long could put me at a disadvantage.","When external uncertainty intersects with personal financial pressure, it can create a persistent sense of instability. It makes sense that you would feel caught between taking action and preserving what you currently have.","Since I need to make a decision by tomorrow, I can’t keep going back and forth. Should I begin applying elsewhere right away, or concentrate on strengthening my position here?","One path seems to represent precaution, while the other reflects commitment to your current role. Having limited time to weigh those options likely intensifies the internal tension.",TRUE
